date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjUSD,TxTfrValMeanUSD,TxTfrValMedUSD,TxTfrValUSD,VtyDayRet30d,FearAndGreed,Tweets
42890,739511,161,158161528,982369.739130435,3.33016911,41339921429.44849359249886229,12413760395.39690134849195015,630909476860.787,1110268.234029757845574656056,5049391.51326877,5081550.090014605375,2524.99383354763,339.6904826284791,65.04841012890992,16372286.09440431,271578,691288,1308922671.978736748154541893,6688.800420130477837808169872,36.29931135108072888,4623887464.831152223100264811,0.046859880569686964,,922
42891,767010,164,157916253,962903.981707317,3.49837338,43970314462.95908364721446978,12568788322.69784281515265098,678760110082.989,1282443.910363658775143372771,5533581.08611424,5504903.7792665085,2685.31891671537,366.90022336733387,70.68223792220394,16374336.09440428,289269,698666,1581541996.228323207500109496,9136.797407733227217930045785,75.43201816296601886925,6383569697.671348693788742366,0.04753466715046171,,369
42892,802549,151,149746147,991696.337748344,3.68734337,47021733324.25516820571991335,12752198143.71342463072627435,678760110082.989,1470518.972271435355977107267,5094943.56099544,5419657.416002711625,2871.34167735243,390.1095227870465,88.12830425756988,16376223.59440426,299724,728483,1650386231.580261913080114264,7482.191343238346213465902353,85.94731051656320346615,5450649196.296302637222739562,0.04745528099468863,,1832
42893,877184,165,163700196,992122.4,3.45563714,44332089813.91060940151933386,12828919239.2366446649371061,678760110082.989,1797317.3508527211809459924,5567322.43420031,5582692.518262344375,2706.76000885447,367.9177073757884,60.63033053608674,16378286.09440422,338421,778157,1511124270.7198214501389158,7255.100780170669677116464203,82.8809914711238714,5645607457.795268190380042899,0.04727688701545843,,596
42894,823165,165,160019214,969813.418181818,3.54000799,45906967852.94541997871441207,12968040761.2914020544938239,678760110082.989,1389046.235901571548490585657,5567322.43420031,5780287.315305380625,2802.56354681473,380.63370820299326,63.012906066635054,16380348.5937442,307355,736601,1614258056.864528588794347649,7476.729872880228134567040751,60.137128331195794867,5507366701.093453488601388575,0.04739891014018909,,1527
42895,762294,151,147004442,973539.350993378,3.50908106,45950079689.46564803115953861,13094619060.17867506977669289,678760110082.989,1267019.753613219541625987822,5094943.56099544,5294196.403811367875,2804.87226691993,386.0273792886476,57.35617618410613,16382236.09373987,280990,672490,1427015544.632598625554897061,8554.519433325168085001462606,73.4113328189192747047,5752828773.716834880339361692,0.047327372002275055,,383
42896,696034,141,136268255,966441.524822695,3.60375711,47781111553.67633627129739447,13258693675.54838529590369969,678760110082.99,1126607.374868835583556823161,4757530.08013481,5140027.85287917,2916.3278597896,402.9755856826479,58.885733799821494,16383998.59373957,252722,603460,1463691783.761232019629844216,8360.314572171006239915164576,65.32224446585529248,5045115431.722310533107587632,0.04746009760264993,,245
42897,670073,146,138042915,945499.417808219,3.64019441,48734955097.06731820041936539,13388008892.43560452936193191,678760110082.99,1068041.255531594739164260396,4926236.82056512,5427941.5705493805,2974.21455920514,391.24068634551134,74.47536141591439,16385823.59373957,225018,558267,1283304864.341966721522666841,8849.904976495941306508477272,59.47239432586597944,4940609901.513459036016767353,0.044357035661639996,,570
42898,726296,147,142237860,967604.489795918,3.22800548,43680217096.06594015518893996,13531642783.16543582290380024,678760110082.99,1099267.056175727142568648614,4959978.16865119,4897733.633549827875,2665.43326995909,297.5930174583659,49.75688182899418,16387661.09373894,270146,640953,1622503326.34374770855289538,9287.42487613434172068241847,82.4094660256046507565,5952802836.632933983428181224,0.04986270549049093,,509
42899,768501,141,137776898,977141.120567376,3.24114582,44368428524.51290488637930246,13689118280.40224658206417858,678760110082.99,1294103.384117819210010339792,4757530.08013481,4771330.414837083,2707.13782402104,284.36094240399984,50.849635182488974,16389423.59373871,291856,716165,1805972279.982078589042567322,9106.351846734285110188364165,78.8416938814830012804,6521650470.316457895535653456,0.04985419522315674,,766
